Date,Open,High,Low,Close,Adj Close,Volume,Stock
2017-08-30,5063.240234375,5069.1201171875,5046.06982421875,5056.33984375,5056.33984375,61690100,CAC 40 Index
2017-08-31,5083.1201171875,5104.77978515625,5068.43994140625,5085.58984375,5085.58984375,108192000,CAC 40 Index
2017-09-01,5117.18994140625,5138.419921875,5115.9501953125,5123.259765625,5123.259765625,75774600,CAC 40 Index
2017-09-04,5088.27978515625,5114.7001953125,5088.27978515625,5103.97021484375,5103.97021484375,44171300,CAC 40 Index
2017-09-05,5107.18994140625,5125.7998046875,5081.080078125,5086.56005859375,5086.56005859375,72150200,CAC 40 Index
2017-09-06,5054.31982421875,5114.2900390625,5050.08984375,5101.41015625,5101.41015625,173147800,CAC 40 Index
2017-09-07,5118.83984375,5148.06005859375,5103.14990234375,5114.6201171875,5114.6201171875,84862300,CAC 40 Index
2017-09-08,5099.31005859375,5117.89013671875,5086.509765625,5113.490234375,5113.490234375,84096300,CAC 40 Index
2017-09-11,5145.77978515625,5180.25,5145.77978515625,5176.7099609375,5176.7099609375,76915100,CAC 40 Index
2017-09-12,5192.75,5219.080078125,5184.47021484375,5209.009765625,5209.009765625,79355100,CAC 40 Index
2017-09-13,5205.2099609375,5227.0,5200.2099609375,5217.58984375,5217.58984375,86353100,CAC 40 Index
2017-09-14,5205.18017578125,5233.5400390625,5201.64990234375,5225.2001953125,5225.2001953125,79396000,CAC 40 Index
2017-09-15,5220.89013671875,5237.169921875,5201.97021484375,5213.91015625,5213.91015625,259691200,CAC 40 Index
2017-09-18,5231.990234375,5239.8798828125,5221.56005859375,5229.31982421875,5229.31982421875,61537100,CAC 40 Index
2017-09-19,5223.2900390625,5238.2900390625,5219.7099609375,5237.43994140625,5237.43994140625,66921900,CAC 40 Index
2017-09-20,5230.509765625,5248.7900390625,5230.02001953125,5241.66015625,5241.66015625,65750000,CAC 40 Index
2017-09-21,5259.02001953125,5275.419921875,5257.43994140625,5267.2900390625,5267.2900390625,84829300,CAC 40 Index
2017-09-22,5277.39013671875,5295.93017578125,5271.8798828125,5281.2900390625,5281.2900390625,71447900,CAC 40 Index
2017-09-25,5267.990234375,5286.830078125,5260.4599609375,5267.1298828125,5267.1298828125,64221800,CAC 40 Index
2017-09-26,5263.9501953125,5274.580078125,5255.10986328125,5268.759765625,5268.759765625,70839200,CAC 40 Index
2017-09-27,5281.2998046875,5289.89013671875,5272.31982421875,5281.9599609375,5281.9599609375,74049900,CAC 40 Index
2017-09-28,5286.0498046875,5295.27001953125,5279.10009765625,5293.77001953125,5293.77001953125,67809900,CAC 40 Index
2017-09-29,5297.419921875,5329.81005859375,5284.740234375,5329.81005859375,5329.81005859375,85230900,CAC 40 Index
2017-10-02,5332.919921875,5350.43994140625,5326.66015625,5350.43994140625,5350.43994140625,68575600,CAC 40 Index
2017-10-03,5362.75,5370.89013671875,5355.2998046875,5367.41015625,5367.41015625,58748500,CAC 40 Index
2017-10-04,5369.240234375,5369.4501953125,5345.2001953125,5363.22998046875,5363.22998046875,80019900,CAC 40 Index
2017-10-05,5355.91015625,5381.740234375,5355.91015625,5379.2099609375,5379.2099609375,70314300,CAC 40 Index
2017-10-06,5378.06982421875,5378.06982421875,5350.259765625,5359.89990234375,5359.89990234375,66128500,CAC 40 Index
2017-10-09,5364.81005859375,5378.509765625,5351.68017578125,5365.830078125,5365.830078125,55296900,CAC 40 Index
2017-10-10,5364.16015625,5372.27001953125,5351.7900390625,5363.64990234375,5363.64990234375,59718000,CAC 40 Index
2017-10-11,5367.3798828125,5367.3798828125,5338.14013671875,5362.41015625,5362.41015625,71441700,CAC 40 Index
2017-10-12,5358.419921875,5361.919921875,5342.68994140625,5360.81005859375,5360.81005859375,56447100,CAC 40 Index
2017-10-13,5362.72998046875,5371.64990234375,5344.9599609375,5351.740234375,5351.740234375,73942000,CAC 40 Index
2017-10-16,5362.52978515625,5371.6201171875,5347.60986328125,5362.8798828125,5362.8798828125,63076900,CAC 40 Index
2017-10-17,5372.64990234375,5376.68994140625,5347.5498046875,5361.3701171875,5361.3701171875,64933200,CAC 40 Index
2017-10-18,5368.08984375,5394.22998046875,5359.68017578125,5383.81005859375,5383.81005859375,64165900,CAC 40 Index
2017-10-19,5371.0,5377.81005859375,5343.0,5368.2900390625,5368.2900390625,86686600,CAC 40 Index
2017-10-20,5389.47998046875,5392.08984375,5368.2099609375,5372.3798828125,5372.3798828125,92307000,CAC 40 Index
2017-10-23,5377.4501953125,5408.740234375,5367.64990234375,5386.81005859375,5386.81005859375,63702000,CAC 40 Index
2017-10-24,5377.85986328125,5413.02978515625,5377.85986328125,5394.7998046875,5394.7998046875,74560600,CAC 40 Index
2017-10-25,5399.60986328125,5416.5400390625,5364.16015625,5374.89013671875,5374.89013671875,80466800,CAC 40 Index
2017-10-26,5383.43994140625,5459.60986328125,5375.259765625,5455.39990234375,5455.39990234375,90950700,CAC 40 Index
2017-10-27,5470.33984375,5513.52978515625,5470.240234375,5494.1298828125,5494.1298828125,95585200,CAC 40 Index
2017-10-30,5488.330078125,5507.56005859375,5487.2900390625,5493.6298828125,5493.6298828125,67428800,CAC 40 Index
